task,num_envs,result,peak_vram_mib,steps_per_s,wall_s
Isaac-Cartpole-v0,512,ok,4658,34345,15
Isaac-Cartpole-v0,1024,ok,4726,66045,14
Isaac-Cartpole-v0,2048,ok,4862,123923,14
Isaac-Cartpole-v0,4096,ok,5142,244251,15
Isaac-Ant-v0,512,ok,4748,37288,20
Isaac-Ant-v0,1024,ok,4892,62339,22
Isaac-Ant-v0,2048,ok,5278,106880,24
Isaac-Ant-v0,4096,ok,5972,157745,29
Isaac-Humanoid-v0,512,ok,4820,25953,24
Isaac-Humanoid-v0,1024,ok,5126,45261,25
Isaac-Humanoid-v0,2048,ok,5548,76551,30
Isaac-Humanoid-v0,4096,ok,6504,110244,39
Isaac-Velocity-Flat-Anymal-C-v0,512,ok,4882,15138,29
Isaac-Velocity-Flat-Anymal-C-v0,1024,ok,5060,29710,28
Isaac-Velocity-Flat-Anymal-C-v0,2048,ok,5408,50889,33
Isaac-Velocity-Flat-Anymal-C-v0,4096,ok,6056,79187,44
Isaac-Velocity-Rough-Anymal-C-v0,512,ok,5638,6889,55
Isaac-Velocity-Rough-Anymal-C-v0,1024,ok,5954,9614,72
Isaac-Velocity-Rough-Anymal-C-v0,2048,ok,6472,11751,109
Isaac-Velocity-Rough-Anymal-C-v0,4096,ok,7776,13910,191
Isaac-Velocity-Flat-Unitree-Go2-v0,512,ok,4842,18142,30
Isaac-Velocity-Flat-Unitree-Go2-v0,1024,ok,4998,30736,28
Isaac-Velocity-Flat-Unitree-Go2-v0,2048,ok,5392,56299,31
Isaac-Velocity-Flat-Unitree-Go2-v0,4096,ok,6132,83409,42
Isaac-Reach-Franka-v0,512,ok,4602,26270,27
Isaac-Reach-Franka-v0,1024,ok,4756,46302,22
Isaac-Reach-Franka-v0,2048,ok,5062,86050,25
Isaac-Reach-Franka-v0,4096,ok,5496,147086,31
Isaac-Open-Drawer-Franka-v0,512,ok,4888,17501,68
Isaac-Open-Drawer-Franka-v0,1024,ok,5298,28797,82
Isaac-Open-Drawer-Franka-v0,2048,ok,5886,44615,106
Isaac-Open-Drawer-Franka-v0,4096,ok,7300,58639,160
